Name,Start,End,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid,Used
Alex Gonzalez,1994,2007,1396,5528,137,623,536,97,7.1 %,21.1 %,0.148,0.289,0.243,0.302,0.391,0.304,78,-9.2,-166.3,90.4,11.3,281,N
Charles Johnson,1994,2005,1188,4386,167,465,570,6,10.8 %,22.7 %,0.188,0.286,0.245,0.33,0.433,0.332,97,-8.1,-25.6,145.3,25.7,523,N
Mike Lieberthal,1994,2006,1212,4695,150,534,610,8,7.1 %,12.2 %,0.172,0.284,0.274,0.337,0.446,0.339,100,-18.2,-15,67.8,20,959,N
Rusty Greer,1994,2002,1027,4424,119,643,615,31,11.7 %,12.5 %,0.174,0.327,0.305,0.387,0.478,0.378,120,-0.8,117.8,-82.4,18.2,1252,N
Tony Clark,1995,2009,1559,5120,251,629,824,6,10.3 %,23.6 %,0.222,0.301,0.262,0.339,0.485,0.352,109,-15.4,42.5,-94,12.1,182,N
Johnny Damon,1995,2012,2490,10917,235,1668,1139,408,9.2 %,11.5 %,0.148,0.305,0.284,0.352,0.433,0.344,105,75.1,146,-70.3,44.5,185,N
Bobby Higginson,1995,2004,1362,5664,187,736,709,91,11.5 %,14.1 %,0.183,0.289,0.272,0.358,0.455,0.354,111,-4.2,81.5,-93.2,17.8,469,N
Joe Randa,1995,2006,1522,6007,123,697,739,42,7.2 %,12.3 %,0.141,0.306,0.284,0.339,0.426,0.334,94,-5.2,-48.9,49.3,20.2,623,N
Mark Grudzielanek,1995,2010,1802,7603,90,946,640,133,4.8 %,12.5 %,0.104,0.322,0.289,0.332,0.393,0.32,91,4.1,-80,69.4,23.2,653,N
Jason Giambi,1995,2014,2260,8908,440,1227,1441,20,15.3 %,17.6 %,0.24,0.294,0.277,0.399,0.516,0.394,140,-23.4,430.2,-223.9,49.7,818,N
Edgardo Alfonzo,1995,2008,1506,6108,146,777,744,53,9.8 %,10.1 %,0.14,0.296,0.284,0.357,0.425,0.344,107,2.8,63,48.7,30.1,859,N
Brian Giles,1995,2009,1847,7836,287,1121,1078,109,15.1 %,10.7 %,0.212,0.294,0.291,0.4,0.502,0.388,136,17.9,384.8,-80.8,54.9,990,N
Rich Aurilia,1995,2009,1652,6278,186,745,756,23,7.2 %,13.7 %,0.158,0.294,0.275,0.328,0.433,0.331,98,-10.9,-23.3,83.5,25.9,1106,N
Shannon Stewart,1995,2008,1386,6205,115,853,580,196,8.1 %,11.0 %,0.133,0.32,0.297,0.36,0.43,0.347,107,6.5,65.2,-59.3,21.4,1322,N
Quilvio Veras,1995,2001,767,3293,32,469,239,183,13.0 %,14.0 %,0.092,0.311,0.27,0.372,0.362,0.336,103,-0.4,11.4,9.8,12.3,1013404,N
Andruw Jones,1996,2012,2196,8664,434,1204,1289,152,10.3 %,20.2 %,0.231,0.273,0.254,0.337,0.486,0.352,111,-5.3,116.3,281.3,67.1,96,N
Tony Batista,1996,2007,1309,4964,221,625,719,47,5.8 %,15.9 %,0.202,0.256,0.251,0.299,0.453,0.32,89,-12.9,-80.2,33,12,124,N
Nomar Garciaparra,1996,2009,1434,6116,229,927,936,95,6.6 %,9.1 %,0.208,0.312,0.313,0.361,0.521,0.376,124,4.8,199.9,18.8,41.4,190,N
Trot Nixon,1996,2008,1092,4224,137,579,555,30,11.9 %,16.3 %,0.19,0.301,0.274,0.364,0.464,0.359,115,0,77.8,4.4,22.4,204,N
Luis Castillo,1996,2010,1720,7471,28,1001,443,370,10.7 %,11.4 %,0.061,0.329,0.29,0.368,0.351,0.327,97,33.4,7.1,37.9,28.4,513,N
Vladimir Guerrero,1996,2012,2147,9059,449,1328,1496,181,8.1 %,10.9 %,0.235,0.316,0.318,0.379,0.553,0.39,136,-49.8,370.2,-115,54.3,778,N
Bobby Abreu,1996,2014,2425,10081,288,1453,1363,400,14.6 %,18.3 %,0.183,0.339,0.291,0.395,0.475,0.378,129,33.8,415.5,-143.4,59.2,945,N
Jason Kendall,1996,2012,2085,8702,75,1030,744,189,8.3 %,7.9 %,0.09,0.306,0.288,0.366,0.378,0.334,99,0.7,-6.8,127.8,39.5,993,N
Edgar Renteria,1996,2011,2152,9066,140,1200,923,294,7.9 %,13.0 %,0.112,0.317,0.286,0.343,0.398,0.327,95,15.5,-36.7,99.7,35.2,1178,N
Jason Varitek,1997,2011,1546,5839,193,664,757,25,10.5 %,20.8 %,0.179,0.298,0.256,0.341,0.435,0.337,99,-22.8,-27.5,75,24.3,217,N
Todd Helton,1997,2013,2247,9453,369,1401,1406,37,14.1 %,12.4 %,0.223,0.33,0.316,0.414,0.539,0.405,132,-35.5,354.1,-99.8,54.8,432,N
Richard Hidalgo,1997,2005,987,3929,171,531,560,48,9.1 %,18.8 %,0.221,0.292,0.269,0.345,0.49,0.357,111,-12.9,47.2,42.6,21.2,561,N
Jose Vidro,1997,2007,1418,5708,128,720,654,23,8.4 %,9.7 %,0.146,0.312,0.298,0.359,0.445,0.35,108,-11.9,50.6,-71.6,16.2,802,N
Miguel Tejada,1997,2015,2171,9205,307,1230,1302,85,6.0 %,11.7 %,0.17,0.295,0.285,0.336,0.456,0.341,106,-26.3,50,43.7,39.7,941,N
Mark Kotsay,1997,2013,1914,7110,127,790,720,98,7.8 %,10.6 %,0.128,0.294,0.276,0.332,0.404,0.322,95,-14.3,-57.8,28.4,20.2,1042,N
Jose Cruz,1997,2008,1388,5448,204,713,624,113,12.1 %,21.1 %,0.198,0.282,0.247,0.337,0.445,0.339,101,11.8,20.8,-6.8,19.5,1296,N
Mike Lowell,1998,2010,1601,6500,223,771,952,30,8.4 %,12.6 %,0.185,0.287,0.279,0.342,0.464,0.346,108,-39.7,25.8,22.7,26,527,N
Paul Lo Duca,1998,2010,1082,4302,80,483,481,20,6.2 %,6.9 %,0.123,0.29,0.286,0.337,0.409,0.325,97,-37.2,-51.2,72.6,16,662,N
Ronnie Belliard,1998,2011,1484,5641,114,685,601,43,8.7 %,14.1 %,0.142,0.303,0.273,0.338,0.415,0.33,96,1.4,-29,23,17.7,677,N
Corey Koskie,1998,2006,989,3950,124,516,506,71,11.6 %,20.1 %,0.183,0.323,0.275,0.367,0.458,0.357,113,-4.5,62.9,73.8,26.7,738,N
Eric Chavez,1998,2014,1615,6228,260,816,902,50,10.3 %,17.3 %,0.208,0.287,0.268,0.342,0.475,0.349,113,1.7,99.8,47,35.4,906,N
Carlos Guillen,1998,2011,1305,5277,124,733,660,74,9.7 %,15.2 %,0.158,0.319,0.285,0.355,0.443,0.346,111,-3.3,69.2,9.2,25.4,1079,N
J.D. Drew,1998,2011,1566,6153,242,944,795,87,14.0 %,18.5 %,0.212,0.311,0.278,0.384,0.489,0.378,127,18.4,235.9,25.2,45.9,1152,N
Placido Polanco,1998,2013,1927,7887,104,1009,723,81,5.4 %,6.8 %,0.1,0.307,0.297,0.343,0.397,0.327,97,-4.4,-37.3,151.6,37.3,1176,N
Melvin Mora,1999,2011,1556,6158,171,794,754,93,8.4 %,15.5 %,0.154,0.306,0.277,0.35,0.431,0.343,107,-7.1,44.5,23.4,27.3,157,N
Lance Berkman,1999,2013,1879,7814,366,1146,1234,86,15.4 %,16.6 %,0.243,0.315,0.293,0.406,0.537,0.4,144,-12,421.3,-108.9,56.1,548,N
Casey Blake,1999,2011,1265,5091,167,644,616,36,8.7 %,20.4 %,0.178,0.305,0.264,0.336,0.442,0.337,106,3.6,42.7,10.7,22.3,719,N
Jacque Jones,1999,2010,1302,4993,165,632,630,82,6.3 %,19.0 %,0.172,0.316,0.277,0.326,0.448,0.333,97,-11.3,-31,-13,12.5,735,N
Alfonso Soriano,1999,2014,1975,8395,412,1152,1159,289,5.9 %,21.5 %,0.23,0.301,0.27,0.319,0.5,0.348,111,33.3,147.2,-24.5,39.8,847,N
Vernon Wells,1999,2012,1731,7212,270,930,958,109,6.5 %,13.3 %,0.189,0.278,0.27,0.319,0.459,0.335,102,11.2,35.4,-29.7,24.8,1326,N
Rafael Furcal,2000,2015,1614,7237,113,1063,587,314,8.9 %,12.6 %,0.122,0.31,0.281,0.346,0.402,0.33,99,52.5,46.7,51.7,33.1,88,N
Juan Pierre,2000,2013,1994,8280,18,1075,517,614,5.6 %,5.8 %,0.066,0.312,0.295,0.343,0.361,0.315,86,89.5,-58.5,28.8,23.9,443,N
Julio Lugo,2000,2011,1352,5338,80,688,475,198,8.2 %,16.4 %,0.115,0.312,0.269,0.333,0.384,0.317,88,14.6,-64.8,27,13.9,565,N
Eric Byrnes,2000,2010,963,3531,109,482,396,129,7.1 %,15.2 %,0.181,0.279,0.258,0.32,0.439,0.328,94,26.2,-0.8,-1.9,11.2,905,N
David Eckstein,2001,2010,1311,5705,35,701,392,123,6.6 %,7.3 %,0.075,0.298,0.28,0.345,0.355,0.316,92,10.6,-49.7,28.6,16.8,10,N
Brian Roberts,2001,2013,1418,6253,97,850,542,285,9.7 %,13.5 %,0.133,0.308,0.276,0.347,0.409,0.332,101,41.8,51.9,29,29.1,166,N
Aaron Rowand,2001,2011,1358,4817,136,613,536,67,5.4 %,19.0 %,0.163,0.316,0.273,0.33,0.435,0.333,100,7.8,10,70.4,23.6,254,N
Carlos Pena,2001,2014,1493,5893,286,745,818,29,13.9 %,26.8 %,0.231,0.275,0.232,0.346,0.462,0.35,117,2.7,128.1,-136.2,18.9,934,N
Lyle Overbay,2001,2014,1587,5801,151,645,675,19,11.0 %,19.1 %,0.163,0.31,0.266,0.347,0.429,0.338,105,-23.4,15.2,-103.8,10.3,1617,N
Austin Kearns,2002,2012,1125,4179,121,522,494,33,11.4 %,21.5 %,0.16,0.304,0.253,0.351,0.413,0.338,104,2.9,23.1,12.8,17.1,332,N
Ryan Ludwick,2002,2014,1065,3986,154,454,587,17,8.5 %,22.3 %,0.191,0.303,0.26,0.33,0.451,0.34,110,-2.2,49.4,-38.8,13.7,1260,N
Mark Ellis,2002,2014,1435,5728,105,690,550,82,7.6 %,14.0 %,0.122,0.291,0.262,0.327,0.384,0.314,93,28.8,-20.6,102.3,27.4,1443,N
Marco Scutaro,2002,2014,1391,5486,77,683,509,55,8.6 %,10.4 %,0.111,0.298,0.277,0.341,0.388,0.323,96,2.6,-22.8,22.6,18.6,1555,N
Travis Hafner,2002,2013,1183,4782,213,619,731,11,12.5 %,20.4 %,0.225,0.308,0.273,0.376,0.498,0.374,132,-10.7,179,-120,21.9,1573,N
Chone Figgins,2002,2014,1282,5360,35,708,403,341,10.1 %,15.5 %,0.087,0.326,0.276,0.349,0.363,0.32,95,58.9,29.5,6.1,21.5,1580,N
Freddy Sanchez,2002,2012,904,3686,48,434,371,13,4.9 %,11.4 %,0.116,0.324,0.297,0.335,0.413,0.326,97,2.2,-10.2,48.7,15.7,1624,N
Kevin Youkilis,2004,2013,1061,4436,150,653,618,26,12.2 %,18.7 %,0.197,0.321,0.281,0.382,0.478,0.375,127,2.4,150.3,-10,29.2,1935,N
Nyjer Morgan,2006,2017,598,2206,12,288,136,120,6.6 %,16.0 %,0.084,0.336,0.282,0.343,0.366,0.317,93,13.6,-4.6,50.1,11.7,4885,N
Carlos Quentin,2006,2016,834,3247,154,416,491,16,9.2 %,15.9 %,0.232,0.255,0.252,0.347,0.484,0.361,121,-5.2,77.2,-84.6,10.1,6274,N
Darin Erstad,1996,2009,1654,6628,124,913,699,179,7.2 %,14.2 %,0.125,0.314,0.282,0.336,0.407,0.325,93,22.4,-34.1,96.3,28.6,11,N
Troy Glaus,1998,2010,1537,6355,320,889,950,56,13.4 %,21.7 %,0.235,0.281,0.254,0.358,0.489,0.365,120,-2.4,157.7,-20.4,34.4,15,N
Adam Kennedy,1999,2012,1691,6055,80,682,571,179,6.6 %,13.9 %,0.112,0.306,0.272,0.327,0.384,0.311,88,9.9,-84.7,64.6,18.4,19,N
Craig Counsell,,,1623,5488,42,647,390,103,10.7 %,12.1 %,0.089,0.286,0.255,0.342,0.344,0.309,82,1.6,-126.6,125.7,17.7,52,N
Damian Miller,,,989,3558,87,361,406,5,8.5 %,21.7 %,0.149,0.318,0.262,0.329,0.411,0.321,88,-15.4,-71.5,82.4,12.5,65,N
Vinny Castilla,,,1854,7384,320,902,1105,33,5.7 %,14.5 %,0.2,0.284,0.276,0.321,0.476,0.34,91,-25.1,-112.1,53.8,18.1,84,N
Marcus Giles,,,792,3340,76,468,333,70,9.5 %,15.7 %,0.152,0.313,0.277,0.353,0.429,0.343,107,16.3,44.5,26.4,17.9,89,N
Javy Lopez,,,1503,5793,260,674,864,8,6.2 %,16.7 %,0.204,0.306,0.287,0.337,0.491,0.354,112,-20.7,70.4,55.3,30.7,103,N
Jeff Conine,,,2024,7782,214,870,1071,54,8.6 %,15.0 %,0.158,0.311,0.285,0.347,0.443,0.343,107,-5.7,63.8,-100.2,22,131,N
Jerry Hairston,,,1442,4967,70,580,420,147,7.5 %,11.5 %,0.111,0.279,0.257,0.324,0.368,0.308,87,10.7,-72.4,48.1,14,144,N
Gary Matthews Jr.,,,1281,4617,108,612,484,95,9.8 %,18.4 %,0.148,0.299,0.257,0.332,0.405,0.323,93,15.4,-27.4,7.9,13.5,153,N
Will Venable,,,967,3146,81,378,307,135,8.1 %,23.8 %,0.155,0.31,0.249,0.315,0.404,0.314,101,29.6,32.4,1.9,13.8,211,N
Sandy Alomar Jr.,,,1377,4865,112,520,588,25,4.4 %,10.3 %,0.134,0.284,0.273,0.309,0.406,0.313,84,-13.4,-109.1,77.5,13.2,221,N
Royce Clayton,,,2108,8164,110,935,723,231,6.9 %,17.3 %,0.109,0.303,0.258,0.312,0.367,0.3,76,1.4,-244.5,155.4,18.2,226,N
Joe Crede,,,888,3377,140,392,470,4,5.9 %,13.6 %,0.19,0.255,0.254,0.304,0.444,0.322,90,-4.6,-45.4,61.7,13,227,N
Ray Durham,,,1975,8423,192,1249,875,273,9.7 %,14.3 %,0.158,0.306,0.277,0.352,0.436,0.345,105,21,78.4,-62.5,29.5,230,N
Tony Graffanino,,,981,3161,58,442,302,53,8.7 %,15.4 %,0.128,0.301,0.265,0.335,0.394,0.322,90,7.2,-32.4,50.4,12.2,235,N
Paul Konerko,,,2349,9505,439,1162,1412,9,9.7 %,14.6 %,0.208,0.286,0.279,0.354,0.486,0.361,118,-87.5,127.3,-215.1,23.2,242,N
Carlos Lee,,,2099,8787,358,1125,1363,125,7.5 %,11.2 %,0.198,0.284,0.285,0.339,0.483,0.351,112,-30.6,102.7,-115.7,27.5,243,N
Kenny Lofton,,,2103,9235,130,1528,781,622,10.2 %,11.0 %,0.124,0.326,0.299,0.372,0.423,0.352,109,68.5,181.3,139.4,62.4,246,N
Magglio Ordonez,,,1848,7745,294,1076,1236,94,8.4 %,11.0 %,0.193,0.316,0.309,0.369,0.502,0.375,126,-28.6,229.2,-121.1,36.6,248,N
Todd Hundley,,,1225,4305,202,495,599,14,10.5 %,23.0 %,0.209,0.261,0.234,0.32,0.443,0.328,99,-6.4,-6.4,15.9,14.2,284,N
Bill Mueller,,,1216,4886,85,663,493,20,11.1 %,11.7 %,0.134,0.316,0.291,0.373,0.425,0.352,112,-16.8,59.1,22.2,23.7,295,N
Corey Patterson,,,1230,4499,118,571,431,218,4.6 %,20.7 %,0.148,0.296,0.252,0.29,0.4,0.298,77,42.4,-88.9,50.3,10.8,300,N
Aaron Boone,,,1152,4333,126,519,555,107,7.0 %,16.3 %,0.162,0.29,0.263,0.326,0.425,0.327,93,9.6,-26.8,-14.1,10,311,N
Sean Casey,,,1405,5644,130,690,735,18,8.5 %,10.2 %,0.145,0.319,0.302,0.367,0.447,0.353,109,-20.2,46.5,-75.8,15.2,314,N
Adam Dunn,,,2001,8328,462,1097,1168,63,15.8 %,28.6 %,0.253,0.286,0.237,0.364,0.49,0.367,123,-0.4,239.5,-255.3,25.4,319,N
Milton Bradley,,,1042,4181,125,541,481,88,11.9 %,19.5 %,0.169,0.317,0.271,0.364,0.44,0.352,114,-7.1,64.3,-10.5,19.1,369,N
Russell Branyan,,,1059,3398,194,405,467,16,11.9 %,32.9 %,0.253,0.296,0.232,0.329,0.485,0.347,111,1.5,48.6,-42.2,12,370,N
Matt Lawton,,,1334,5570,138,756,631,165,12.2 %,11.0 %,0.15,0.281,0.267,0.368,0.417,0.348,107,-7.4,41.9,-113.3,11.7,390,N
Victor Martinez,,,1840,7658,237,882,1124,7,9.1 %,11.0 %,0.164,0.309,0.298,0.364,0.462,0.355,119,-86.1,91.4,-56,29.6,393,N
Jim Thome,,,2543,10313,612,1583,1699,19,16.9 %,24.7 %,0.278,0.322,0.276,0.402,0.554,0.406,145,-35.2,554.6,-199.9,69,409,N
Juan Uribe,,,1826,6715,199,724,816,48,5.8 %,18.2 %,0.163,0.286,0.255,0.301,0.418,0.311,85,-5.6,-128.8,148.1,24.5,454,N
Larry Walker,,,1988,8030,383,1355,1311,230,11.4 %,15.3 %,0.252,0.332,0.313,0.4,0.565,0.412,140,21.5,427.9,3.5,68.7,455,N
Brandon Inge,,,1532,5617,152,563,648,45,7.9 %,23.3 %,0.152,0.281,0.233,0.301,0.384,0.301,81,-3.9,-134.9,105.9,16,470,N
Dean Palmer,,,1357,5513,275,734,849,48,9.1 %,24.2 %,0.222,0.285,0.251,0.324,0.472,0.345,104,-3.8,28.9,-103.2,11,482,N
Dmitri Young,,,1364,5253,171,648,683,25,7.7 %,16.6 %,0.183,0.324,0.292,0.351,0.475,0.354,112,-24.7,55.4,-100.9,12.5,505,N
Derrek Lee,,,1942,7963,331,1081,1078,104,11.0 %,20.4 %,0.213,0.321,0.281,0.365,0.495,0.369,123,-15.8,217.2,-128.8,34.5,525,N
Brad Ausmus,,,1971,7102,80,718,607,102,8.9 %,14.6 %,0.092,0.288,0.251,0.325,0.344,0.299,76,-23.2,-244.9,178.7,16.7,546,N
Morgan Ensberg,,,731,2580,110,340,347,22,12.9 %,16.9 %,0.205,0.28,0.263,0.362,0.468,0.36,116,-12.1,39.9,17.6,14.1,556,N
Gregg Zaun,,,1232,4042,88,437,446,23,11.9 %,13.5 %,0.136,0.274,0.252,0.344,0.388,0.325,92,-15.8,-56,43.5,12.2,580,N
Raul Ibanez,,,2161,8278,305,1055,1207,50,8.6 %,16.6 %,0.193,0.295,0.272,0.335,0.465,0.344,110,-9.1,95,-174.1,19.5,607,N
Mike Sweeney,,,1454,5848,215,759,909,53,8.9 %,10.5 %,0.189,0.3,0.297,0.366,0.486,0.366,117,-2.7,121.2,-106.5,21.1,634,N
Dave Roberts,,,832,3092,23,437,213,243,9.9 %,11.7 %,0.1,0.298,0.266,0.342,0.366,0.316,92,32.9,0.1,2.1,10.3,670,N
Jose Hernandez,,,1587,5089,168,623,603,41,7.5 %,27.3 %,0.165,0.324,0.252,0.312,0.418,0.316,86,-13.5,-107,67.7,12.4,688,N
Geoff Jenkins,,,1349,5254,221,688,733,32,8.0 %,22.6 %,0.215,0.322,0.275,0.344,0.49,0.354,111,-10.8,63.1,15.5,24.5,690,N
Richie Sexson,,,1367,5604,306,748,943,14,10.5 %,23.4 %,0.246,0.293,0.261,0.344,0.507,0.363,118,-19.3,112.6,-130.3,16.8,709,N
Eric Young,,,1730,6996,79,996,543,465,9.4 %,6.6 %,0.107,0.294,0.283,0.359,0.39,0.336,94,18.2,-30.9,5.9,19.8,716,N
Torii Hunter,,,2372,9692,353,1296,1391,195,6.8 %,18.0 %,0.185,0.307,0.277,0.331,0.461,0.342,110,-8.7,102.3,-19.5,41.5,731,N
David Ortiz,,,2408,10091,541,1419,1768,17,13.1 %,17.3 %,0.265,0.3,0.286,0.38,0.552,0.392,140,-78,407.5,-248.4,50.7,745,N
A.J. Pierzynski,,,2059,7815,188,807,909,15,3.9 %,11.5 %,0.14,0.296,0.28,0.319,0.42,0.319,92,-65.6,-144.9,109,22.8,746,N
Orlando Cabrera,,,1985,8255,123,985,854,216,6.2 %,9.0 %,0.118,0.285,0.272,0.317,0.39,0.309,83,26.6,-150.9,124.9,24.6,766,N
Todd Frazier,,,920,3702,171,460,486,62,8.7 %,21.8 %,0.212,0.272,0.245,0.32,0.458,0.336,110,7.4,52,26.6,20.7,785,N
Brandon Phillips,,,1878,7904,208,994,942,209,5.3 %,13.6 %,0.145,0.296,0.275,0.32,0.42,0.321,95,4.1,-47,106.7,32,791,N
Brad Wilkerson,,,972,3753,122,500,399,53,13.1 %,25.2 %,0.193,0.311,0.247,0.35,0.44,0.343,105,5,27.4,-27.4,12.3,804,N
Nick Johnson,,,832,3316,95,430,398,29,15.7 %,17.2 %,0.173,0.307,0.268,0.399,0.441,0.37,126,-14.8,95.4,-54.2,14.9,828,N
Jorge Posada,,,1828,7150,275,900,1065,20,13.1 %,20.3 %,0.201,0.315,0.273,0.374,0.474,0.367,123,-54.5,156.2,56.9,44.7,841,N
Robin Ventura,,,2079,8271,294,1006,1182,24,13.0 %,14.3 %,0.177,0.281,0.267,0.362,0.444,0.351,113,-14.2,124.9,169.6,56.7,854,N
Bernie Williams,,,2076,9053,287,1366,1257,147,11.8 %,13.4 %,0.18,0.318,0.297,0.381,0.477,0.373,126,-16.1,286.3,-143,43.9,857,N
Roberto Alomar,,,2379,10400,210,1508,1134,474,9.9 %,11.0 %,0.143,0.321,0.3,0.371,0.443,0.359,118,41.6,272.5,15.8,63.6,860,N
Jay Payton,,,1259,4490,119,561,522,47,5.7 %,11.2 %,0.147,0.291,0.279,0.323,0.425,0.325,92,-6.8,-49.7,20.8,12,890,N
Jermaine Dye,,,1763,7214,325,984,1072,46,8.3 %,18.1 %,0.214,0.296,0.274,0.338,0.488,0.354,110,-26.2,64.8,-162,14.5,911,N
Ramon Hernandez,,,1526,5701,169,580,757,9,7.5 %,12.9 %,0.154,0.276,0.263,0.327,0.417,0.325,96,-27.7,-59.5,107.6,23.7,918,N
David Justice,,,1610,6602,305,929,1017,53,13.7 %,15.1 %,0.221,0.289,0.279,0.378,0.5,0.38,130,-11.2,234.5,-52.8,40.4,923,N
Randy Velarde,,,1273,4813,100,633,445,78,9.6 %,17.7 %,0.132,0.324,0.276,0.352,0.408,0.341,103,-0.7,22.1,42.1,22.4,942,N
Pat Burrell,,,1640,6520,292,767,976,7,14.3 %,24.0 %,0.219,0.297,0.253,0.361,0.472,0.36,117,-26.6,116.4,-138.7,19,949,N
Marlon Byrd,,,1574,6123,159,740,710,56,6.2 %,20.2 %,0.155,0.324,0.275,0.329,0.43,0.331,102,6.5,18.6,1.7,22.4,950,N
Jimmy Rollins,,,2275,10240,231,1421,936,470,7.9 %,12.3 %,0.154,0.283,0.264,0.324,0.418,0.323,95,83.1,26.5,134.8,49.4,971,N
Aramis Ramirez,,,2194,8986,386,1098,1417,29,7.0 %,13.8 %,0.209,0.29,0.283,0.341,0.492,0.357,115,-68.1,102.5,-9.7,38.4,1002,N
Jack Wilson,,,1370,5339,61,565,426,43,5.1 %,11.6 %,0.101,0.29,0.265,0.306,0.366,0.294,75,9,-161.4,111.6,12.4,1017,N
Phil Nevin,,,1217,4703,208,584,743,18,9.5 %,21.7 %,0.202,0.308,0.27,0.343,0.472,0.35,112,-5.7,72.2,-70.6,15.1,1049,N
Bret Boone,,,1780,7433,252,927,1021,94,7.4 %,17.4 %,0.176,0.292,0.266,0.325,0.442,0.332,101,-8.7,-3,-8.6,23,1067,N
Mike Cameron,,,1955,7884,278,1064,968,297,11.0 %,24.1 %,0.195,0.301,0.249,0.338,0.444,0.341,107,51.9,120.2,130.4,50.7,1070,N
Jeff Cirillo,,,1617,6136,112,800,727,63,9.2 %,11.3 %,0.134,0.32,0.296,0.366,0.43,0.351,103,-3.5,26.6,105,33,1073,N
John Olerud,,,2234,9063,255,1139,1230,11,14.1 %,11.2 %,0.17,0.309,0.295,0.398,0.465,0.377,130,-19.6,322.1,-45.3,57.3,1093,N
Ruben Sierra,,,2186,8782,306,1084,1322,142,6.9 %,14.1 %,0.182,0.279,0.268,0.315,0.45,0.33,101,8,12.9,-177.2,13.9,1099,N
Ichiro Suzuki,,,2619,10649,117,1414,776,508,6.0 %,10.0 %,0.092,0.339,0.312,0.356,0.403,0.329,105,95.5,161.9,64.6,58.2,1101,N
Dan Wilson,,,1299,4616,88,441,519,23,6.1 %,16.5 %,0.12,0.299,0.262,0.309,0.382,0.304,80,-6.6,-128.6,108.5,13.9,1102,N
David Bell,,,1403,5381,123,587,589,19,8.0 %,12.8 %,0.139,0.274,0.257,0.32,0.396,0.313,86,-12.1,-110.9,66.7,13.5,1108,N
Jeff Kent,,,2298,9537,377,1320,1518,94,8.4 %,16.0 %,0.21,0.311,0.29,0.356,0.5,0.367,123,-19.8,259.7,1.2,56.1,1119,N
Jim Edmonds,,,2011,7980,393,1251,1199,67,12.5 %,21.7 %,0.243,0.324,0.284,0.376,0.527,0.385,132,-8,317.7,73.3,64.5,1153,N
Tino Martinez,,,2023,8044,339,1009,1271,27,9.7 %,13.3 %,0.2,0.274,0.271,0.344,0.471,0.35,110,-15.1,92.9,-74.7,28.7,1168,N
Carl Crawford,,,1716,7178,136,998,766,480,5.3 %,14.9 %,0.145,0.326,0.29,0.33,0.435,0.332,104,87.3,124.6,52.6,42,1201,N
