Name,Start,End,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid,Used
Granny Hamner,,,1528,6291,104,711,708,35,5.6 %,6.9 %,0.121,0.268,0.262,0.303,0.383,0.312,82,3.7,-136.6,88,15.2,1005286,N
Grady Hatton,,,1312,4912,91,562,533,42,13.2 %,8.8 %,0.12,0.265,0.254,0.354,0.374,0.344,99,5.8,-4.6,-1.6,15.7,1005496,N
Frankie Hayes,,,842,3214,62,316,355,19,11.7 %,11.9 %,0.124,0.274,0.253,0.342,0.377,0.342,100,-1.8,1.9,22,13.6,1005526,N
Woodie Held,,,1390,4645,179,524,559,14,10.9 %,20.3 %,0.182,0.268,0.24,0.331,0.421,0.334,107,0,43.5,46.7,23.4,1005609,N
Tom Herr,,,1514,6116,28,676,574,188,10.3 %,9.5 %,0.079,0.297,0.271,0.347,0.35,0.317,97,10.7,-7.9,24.8,22.9,1005737,N
Pinky Higgins,,,789,3274,54,375,424,18,11.2 %,5.9 %,0.121,0.286,0.28,0.365,0.401,0.363,108,-7.8,21.2,-15,12.5,1005793,N
Glenallen Hill,,,1162,4033,186,528,586,96,6.7 %,21.0 %,0.212,0.302,0.271,0.321,0.482,0.348,110,3,57.7,-79.7,10.6,1005820,N
Tommy Holmes,,,1320,5565,88,698,581,40,8.6 %,2.2 %,0.13,0.297,0.302,0.366,0.432,0.375,122,5.5,149.2,0.5,33.8,1005980,N
Johnny Hopp,,,1387,4799,46,697,456,128,9.6 %,7.9 %,0.118,0.317,0.296,0.368,0.414,0.367,114,23.2,105.1,-29.7,23.3,1006022,N
Ron Hunt,,,1483,6158,39,745,370,65,9.0 %,6.2 %,0.074,0.287,0.273,0.368,0.347,0.332,109,-5.2,56.4,-7.8,28.3,1006212,N
Pete Incaviglia,,,1284,4677,206,546,655,33,7.7 %,27.3 %,0.202,0.3,0.246,0.31,0.448,0.333,104,-4.6,14.2,-69.7,10.2,1006257,N
Randy Jackson,,,955,3548,103,412,415,36,7.9 %,10.8 %,0.16,0.268,0.261,0.32,0.421,0.334,93,3.2,-27.3,34.2,11.8,1006307,N
Brook Jacoby,,,1311,5027,120,535,545,16,8.7 %,15.2 %,0.135,0.299,0.27,0.334,0.405,0.33,103,-8.4,10.1,-14,16.4,1006318,N
Stan Javier,,,1763,5755,57,781,503,246,10.0 %,14.6 %,0.094,0.311,0.269,0.345,0.363,0.32,95,26.5,-5.7,10.9,19.4,1006372,N
Davey Johnson,,,1435,5465,136,564,609,33,10.2 %,12.4 %,0.143,0.277,0.261,0.34,0.404,0.336,112,-0.9,71.9,34.4,28.9,1006440,N
Jay Johnstone,,,1748,5229,102,578,531,50,8.2 %,12.1 %,0.127,0.288,0.267,0.329,0.394,0.324,102,-9.6,4.2,-12.1,16,1006463,N
Mack Jones,,,1002,3584,133,485,415,65,10.7 %,21.1 %,0.192,0.291,0.252,0.347,0.444,0.354,122,-0.9,88.9,-35.6,19.2,1006574,N
Mike Jorgensen,,,1633,4034,95,429,426,58,13.2 %,14.6 %,0.129,0.267,0.243,0.347,0.373,0.33,103,-4.4,8.2,-34.8,10.9,1006622,N
Wally Judnich,,,790,3207,90,424,420,20,12.0 %,9.3 %,0.172,0.289,0.281,0.369,0.452,0.382,118,-7.2,65.8,-21,16.1,1006645,N
George Kell,,,1795,7528,78,881,870,51,8.2 %,3.8 %,0.107,0.311,0.306,0.367,0.414,0.362,111,-3.1,101.2,25.4,38.2,1006783,N
Bobby Knoop,,,1153,4004,56,337,331,16,7.6 %,20.8 %,0.098,0.29,0.236,0.296,0.334,0.283,82,-2,-85.4,91.5,12.4,1007049,N
Harvey Kuenn,,,1833,7618,87,951,671,68,7.8 %,5.3 %,0.105,0.31,0.303,0.357,0.408,0.343,108,-4.4,72.9,-54.8,27.5,1007200,N
Eddie Lake,,,833,3194,39,442,193,52,17.1 %,9.8 %,0.093,0.25,0.231,0.366,0.323,0.34,98,-8.8,-18.5,28.4,12.1,1007260,N
Jim Landis,,,1346,5025,93,625,467,139,11.7 %,15.3 %,0.128,0.28,0.247,0.344,0.375,0.326,103,9.7,28,33.6,21.5,1007296,N
Carney Lansford,,,1862,7905,151,1007,874,224,7.0 %,9.1 %,0.121,0.302,0.29,0.343,0.411,0.337,111,2.4,105.9,-42,33.9,1007331,N
Mike LaValliere,,,879,2871,18,185,294,5,11.2 %,8.5 %,0.07,0.288,0.268,0.351,0.338,0.31,94,-5.9,-28.4,91,16.1,1007387,N
Vance Law,,,1212,4298,71,453,442,34,9.5 %,14.0 %,0.12,0.285,0.256,0.326,0.376,0.317,96,-4.9,-25.9,-1.4,11.6,1007409,N
Ron LeFlore,,,1099,4872,59,731,353,455,7.5 %,18.2 %,0.104,0.347,0.288,0.342,0.392,0.333,104,36.6,61.2,-102.7,12.5,1007478,N
Danny Litwhiler,,,1057,3858,107,428,451,11,7.8 %,9.8 %,0.157,0.291,0.281,0.342,0.438,0.364,117,0.6,76.4,-22.7,17.7,1007670,N
Don Lock,,,921,3116,122,359,373,30,12.0 %,24.9 %,0.179,0.285,0.238,0.331,0.417,0.335,112,-3.8,39.9,-10.9,13.1,1007686,N
Whitey Lockman,,,1666,6590,114,836,563,43,8.4 %,5.8 %,0.111,0.283,0.279,0.342,0.391,0.337,96,0.7,-33.4,-56,11.9,1007694,N
Stan Lopata,,,853,3034,116,375,397,18,13.0 %,16.4 %,0.198,0.271,0.254,0.351,0.452,0.358,114,1,51.6,23.8,17.3,1007749,N
Mike Macfarlane,,,1164,4047,129,458,514,12,7.3 %,17.3 %,0.178,0.276,0.252,0.322,0.43,0.332,99,-4.8,-13.3,32.9,15.7,1007905,N
Shane Mack,,,923,3218,80,436,398,90,8.0 %,15.8 %,0.158,0.338,0.299,0.364,0.456,0.365,122,0.3,84.4,2.4,19.7,1007928,N
Elliott Maddox,,,1029,3340,18,360,234,60,12.2 %,10.7 %,0.073,0.291,0.261,0.358,0.334,0.322,103,-7.8,3.9,9.9,12.5,1007947,N
Bill Madlock,,,1806,7372,163,920,860,174,8.2 %,6.9 %,0.137,0.308,0.305,0.365,0.442,0.358,121,-0.2,178.9,-95,35,1007957,N
Hank Majeski,,,963,3396,50,369,447,8,8.3 %,6.8 %,0.12,0.29,0.28,0.346,0.4,0.348,100,-3,-2.2,27.7,13.9,1008006,N
Candy Maldonado,,,1410,4590,146,498,618,34,8.5 %,18.8 %,0.17,0.286,0.254,0.322,0.424,0.33,107,-7.8,29.3,-64.2,11.8,1008015,N
Roger Maris,,,1463,5846,275,826,851,21,11.2 %,12.5 %,0.216,0.254,0.26,0.345,0.476,0.361,126,2.7,190.1,-12.2,36.9,1008110,N
Mike Marshall,,,1035,3908,148,433,530,26,6.3 %,20.7 %,0.176,0.309,0.27,0.321,0.446,0.338,116,-9.1,62.9,-84.9,11.1,1008145,N
Willard Marshall,,,1246,4735,130,583,604,14,9.7 %,4.6 %,0.149,0.265,0.274,0.347,0.423,0.358,108,1.4,48.3,-41.5,16.2,1008148,N
Carmelo Martinez,,,1003,3356,108,350,424,10,12.0 %,15.7 %,0.162,0.263,0.245,0.337,0.408,0.333,110,-5.5,33.7,-22.3,12.5,1008157,N
Dave Martinez,,,1919,6480,91,795,580,183,8.8 %,13.8 %,0.113,0.311,0.276,0.341,0.389,0.326,96,-3.8,-36,-3.8,18.1,1008160,N
Gary Matthews,,,2033,8189,234,1083,978,183,11.5 %,13.7 %,0.157,0.304,0.281,0.364,0.439,0.361,121,8.4,199.6,-181.2,30.7,1008255,N
Don Mattingly,,,1785,7722,222,1007,1099,14,7.6 %,5.7 %,0.164,0.3,0.307,0.358,0.471,0.361,124,-2.7,218.4,-75.9,40.7,1008261,N
Charlie Maxwell,,,1133,3796,148,478,532,18,12.8 %,14.4 %,0.187,0.274,0.264,0.36,0.451,0.36,117,2.9,82.8,-5.1,19.9,1008287,N
John Mayberry,,,1620,6447,255,733,879,20,13.7 %,12.6 %,0.186,0.253,0.253,0.36,0.439,0.359,123,-0.5,163,-120.5,26.9,1008289,N
Dave May,,,1252,4085,96,462,422,60,8.4 %,12.2 %,0.125,0.266,0.251,0.318,0.375,0.315,96,-4.3,-20.4,-4.6,10.6,1008292,N
Lee Maye,,,1288,4382,94,533,419,59,6.4 %,11.0 %,0.136,0.291,0.274,0.323,0.41,0.326,107,0.1,33.5,-59.8,12.4,1008294,N
Bill Mazeroski,,,2163,8379,138,769,853,27,5.3 %,8.4 %,0.107,0.269,0.26,0.299,0.367,0.293,82,-0.7,-176.6,200.5,30.9,1008316,N
Lee Mazzilli,,,1475,4831,93,571,460,197,13.3 %,13.0 %,0.126,0.284,0.259,0.359,0.385,0.338,112,4.2,73.4,-96.5,14.2,1008318,N
Frank McCormick,,,1191,4745,105,528,703,24,7.1 %,3.2 %,0.137,0.282,0.29,0.344,0.426,0.36,117,2.5,96.4,0.6,25,1008413,N
Gil McDougald,,,1336,5395,112,697,576,45,10.4 %,11.5 %,0.134,0.297,0.276,0.356,0.41,0.349,114,-4.5,87.7,128.6,39.7,1008471,N
Mark McGwire,,,1874,7660,583,1167,1414,12,17.2 %,20.8 %,0.325,0.255,0.263,0.394,0.588,0.415,157,-2.5,555,-138.5,66.3,1008559,N
Roy McMillan,,,2093,7653,68,739,594,41,8.7 %,9.3 %,0.078,0.261,0.243,0.314,0.321,0.292,73,-2,-258.2,210.6,19.9,1008643,N
Brian McRae,,,1354,5737,103,734,532,196,8.5 %,14.4 %,0.135,0.292,0.261,0.331,0.396,0.324,94,2.2,-39.7,-6.8,13.5,1008686,N
Bill Melton,,,1144,4558,160,496,591,23,10.5 %,14.7 %,0.166,0.265,0.253,0.337,0.419,0.343,113,-3.5,62.9,-27.4,19.4,1008754,N
Felix Millan,,,1480,6325,22,699,403,67,5.0 %,3.8 %,0.064,0.287,0.279,0.322,0.343,0.304,87,-1,-92.4,16.8,14.2,1008867,N
Rick Miller,,,1482,4440,28,552,369,78,10.2 %,13.1 %,0.081,0.309,0.269,0.346,0.35,0.32,95,-8.8,-34,24.3,13.8,1008928,N
Randy Milligan,,,703,2594,70,305,284,16,17.2 %,16.6 %,0.159,0.296,0.261,0.391,0.42,0.37,131,-4.5,89.7,-35.4,14.6,1008946,N
John Milner,,,1215,3985,131,455,498,31,12.6 %,11.9 %,0.164,0.253,0.249,0.344,0.413,0.343,114,-1.5,61,-71.8,12.8,1008965,N
Don Mincher,,,1400,4725,200,530,643,24,12.8 %,14.1 %,0.201,0.251,0.249,0.348,0.45,0.354,126,-5.8,129.3,-35.3,24.8,1008973,N
Dale Mitchell,,,1127,4357,41,555,403,45,7.9 %,2.7 %,0.104,0.315,0.312,0.368,0.416,0.363,114,-9.6,67.4,-25.3,19,1009000,N
Johnny Mize,,,1311,5002,260,750,921,25,11.7 %,6.8 %,0.246,0.274,0.296,0.384,0.542,0.421,149,3.3,297.7,-31.8,43.5,1009014,N
Wally Moon,,,1457,5566,142,737,661,89,11.6 %,10.6 %,0.157,0.303,0.289,0.371,0.445,0.363,119,-6.2,121.6,-78.6,22.7,1009085,N
Hal Morris,,,1246,4443,76,535,513,45,8.0 %,12.3 %,0.129,0.334,0.304,0.361,0.433,0.349,111,-1.2,57.1,-58.6,14.6,1009209,N
Jim Morrison,,,1089,3695,112,371,435,50,5.8 %,14.1 %,0.159,0.275,0.26,0.305,0.419,0.32,97,-5.2,-16.4,8.7,11.7,1009212,N
Jerry Mumphrey,,,1585,5545,70,660,575,174,8.6 %,12.4 %,0.108,0.321,0.289,0.349,0.396,0.334,109,3.2,59.6,-29.7,21.9,1009314,N
Bob Nieman,,,1113,3947,125,455,544,10,11.0 %,13.0 %,0.179,0.314,0.295,0.373,0.474,0.378,130,-7,137,-64.9,20.6,1009587,N
Matt Nokes,,,902,2997,136,310,422,8,6.7 %,13.2 %,0.187,0.251,0.254,0.308,0.441,0.328,103,-2,9.2,-2.5,10.8,1009615,N
Irv Noren,,,1093,3507,65,443,453,34,9.6 %,10.0 %,0.135,0.291,0.275,0.348,0.41,0.345,105,-1,20,-0.7,13.6,1009628,N
Ron Northey,,,1084,3567,108,385,513,7,10.1 %,8.3 %,0.174,0.276,0.276,0.352,0.45,0.373,121,0.2,89.6,-73.7,13.3,1009643,N
Charlie O'Brien,,,800,2560,56,216,261,1,8.2 %,13.8 %,0.132,0.238,0.221,0.303,0.353,0.295,76,-4.3,-78.9,99,10.7,1009685,N
Al Oliver,,,2368,9778,219,1189,1326,84,5.5 %,7.7 %,0.148,0.309,0.303,0.344,0.451,0.352,120,-6.8,220.4,-135,43.4,1009773,N
Paul O'Neill,,,2053,8329,281,1041,1269,141,10.7 %,14.0 %,0.183,0.306,0.288,0.363,0.47,0.362,120,-3.1,210.2,-78.7,41,1009818,N
Jim Pagliaroni,,,849,2853,90,269,326,4,11.6 %,17.3 %,0.155,0.28,0.252,0.344,0.407,0.335,109,-1.1,29.1,32.8,16.5,1009958,N
Mike Pagliarulo,,,1246,4317,134,462,505,18,7.9 %,18.2 %,0.165,0.268,0.241,0.306,0.407,0.313,92,-3.9,-46,9.7,10.8,1009959,N
Dave Parker,,,2466,10184,339,1272,1493,154,6.7 %,15.1 %,0.181,0.314,0.29,0.339,0.471,0.354,120,-14.3,218.1,-159.3,41.1,1010000,N
Larry Parrish,,,1891,7451,256,850,992,30,7.1 %,18.2 %,0.176,0.293,0.263,0.318,0.439,0.334,105,-8.4,40,-122.8,16.9,1010020,N
Tony Pena,,,1988,7073,107,667,708,80,6.4 %,12.0 %,0.104,0.283,0.26,0.309,0.364,0.3,83,-10.4,-156.2,155.1,23.9,1010153,N
Joe Pepitone,,,1397,5476,219,606,721,41,5.5 %,9.6 %,0.174,0.25,0.258,0.301,0.432,0.323,104,-2.4,21,-63.6,12.7,1010167,N
Johnny Pesky,,,1270,5516,17,867,404,53,12.0 %,4.0 %,0.079,0.319,0.307,0.394,0.386,0.371,111,-9.4,62.6,64.5,32.1,1010219,N
Gary Pettis,,,1183,4237,21,568,259,354,12.3 %,22.6 %,0.074,0.313,0.236,0.332,0.31,0.3,85,28.4,-47.5,82.9,17.8,1010249,N
Dave Philley,,,1904,7000,84,789,729,101,8.5 %,7.9 %,0.107,0.284,0.27,0.334,0.377,0.327,91,-2.9,-82.5,-45.8,10.5,1010285,N
Wally Post,,,1204,4397,210,594,699,19,7.5 %,18.5 %,0.22,0.283,0.266,0.323,0.485,0.354,110,0.7,53,-42.5,15,1010468,N
Vic Power,,,1627,6461,126,765,658,45,4.3 %,3.8 %,0.127,0.278,0.284,0.315,0.411,0.321,94,-2.2,-47.4,-1.8,14.7,1010506,N
Doug Rader,,,1465,5832,155,631,722,37,9.1 %,18.1 %,0.152,0.285,0.251,0.322,0.403,0.327,105,-3.5,31.4,20.1,26.5,1010638,N
Gary Redus,,,1159,4066,90,591,352,322,11.8 %,16.9 %,0.158,0.287,0.252,0.342,0.41,0.336,109,30.2,70.5,-48.6,16.2,1010758,N
Rick Reichardt,,,997,3685,116,391,445,40,7.1 %,18.2 %,0.153,0.294,0.261,0.326,0.414,0.334,115,-5.9,53.1,-37,13.5,1010791,N
Craig Reynolds,,,1491,4863,42,480,377,58,4.7 %,8.3 %,0.089,0.271,0.256,0.291,0.345,0.283,78,-1.1,-126.7,66.7,10.4,1010867,N
Bip Roberts,,,1202,4631,30,663,352,264,8.6 %,11.8 %,0.086,0.331,0.294,0.358,0.38,0.333,103,13.5,25.7,-14.3,17.5,1011023,N
Bob Robertson,,,829,2742,115,283,368,7,11.6 %,19.9 %,0.192,0.265,0.242,0.331,0.434,0.346,115,-1.4,47.9,-33.9,11,1011024,N
Leon Roberts,,,901,3066,78,342,328,26,8.3 %,14.0 %,0.152,0.289,0.267,0.332,0.419,0.338,108,-4.3,21.1,-13.1,11.3,1011040,N
Aaron Robinson,,,610,2189,61,208,272,0,15.4 %,8.9 %,0.152,0.263,0.26,0.375,0.412,0.373,115,-3.1,34.3,21.8,13.4,1011052,N
Bill Robinson,,,1472,4729,166,536,641,71,5.6 %,17.3 %,0.18,0.28,0.258,0.3,0.438,0.326,102,-3.4,10.9,-50.7,11.3,1011054,N
Eddie Robinson,,,1315,4891,172,546,723,10,10.7 %,7.3 %,0.172,0.259,0.268,0.353,0.44,0.364,113,-1.3,75.3,-60,18.1,1011063,N
Floyd Robinson,,,1011,3770,67,458,426,42,10.8 %,7.5 %,0.126,0.292,0.283,0.365,0.409,0.345,119,1.4,88.9,-39.3,16.6,1011064,N
Jackie Robinson,,,1382,5802,137,947,734,197,12.8 %,5.0 %,0.162,0.31,0.311,0.409,0.474,0.406,135,29.7,285.8,93.7,57.2,1011070,N
Aurelio Rodriguez,,,2017,7082,124,612,648,35,4.6 %,13.3 %,0.114,0.259,0.237,0.275,0.351,0.282,73,-3.5,-218,130,13.2,1011100,N
Rich Rollins,,,1002,3675,77,419,399,17,7.2 %,11.2 %,0.12,0.285,0.269,0.328,0.388,0.321,99,0.6,-0.9,24.4,13.5,1011162,N
Juan Samuel,,,1720,6664,161,873,703,396,6.6 %,21.6 %,0.16,0.313,0.259,0.315,0.42,0.324,100,20,24.7,-102,15.1,1011400,N
Paul Schaal,,,1128,4149,57,436,323,43,12.4 %,11.2 %,0.1,0.265,0.244,0.341,0.344,0.316,102,-4.1,5.5,-4,13.7,1011502,N
George Scott,,,2034,8269,271,957,1051,69,8.5 %,17.2 %,0.167,0.296,0.268,0.333,0.435,0.343,113,-5.3,115.1,-20.2,36.3,1011682,N
Kevin Seitzer,,,1439,6062,74,739,613,80,11.0 %,10.2 %,0.109,0.32,0.295,0.375,0.404,0.351,113,-5.7,96.1,-35.9,26.7,1011730,N
Roy Sievers,,,1887,7349,318,945,1147,14,11.4 %,12.5 %,0.208,0.266,0.267,0.354,0.475,0.367,121,-1.8,184.5,-158.3,27.5,1011959,N
Duke Sims,,,843,2810,100,263,310,6,12.0 %,17.2 %,0.162,0.26,0.239,0.34,0.401,0.336,113,-3.9,36,10.6,14.6,1012000,N
Bill Skowron,,,1658,6046,211,681,888,16,6.3 %,14.4 %,0.177,0.3,0.282,0.332,0.459,0.347,118,-1.4,133.9,-37.9,28.6,1012043,N
Enos Slaughter,,,2119,7989,149,1093,1160,68,11.8 %,5.6 %,0.152,0.304,0.3,0.385,0.451,0.386,127,8.2,265.2,-69.6,46.2,1012060,N
Roy Smalley,,,1653,6595,163,745,694,27,11.7 %,13.8 %,0.138,0.278,0.257,0.345,0.395,0.334,105,-7.8,27,22,27.8,1012078,N
Al Smith,,,1517,6172,164,843,676,67,10.9 %,12.4 %,0.157,0.29,0.272,0.358,0.429,0.353,116,-0.3,118.3,-82.8,23.3,1012090,N
Ozzie Smith,,,2573,10778,28,1257,793,580,9.9 %,5.5 %,0.066,0.275,0.262,0.337,0.328,0.305,90,55.2,-69.4,375.3,67.6,1012186,N
Eric Soderholm,,,894,3255,102,402,383,18,9.1 %,11.0 %,0.157,0.27,0.264,0.335,0.421,0.341,111,-3.6,39.5,52.8,20.5,1012260,N
Daryl Spencer,,,1098,4206,105,457,428,13,10.7 %,12.3 %,0.136,0.257,0.244,0.327,0.38,0.319,91,1.8,-47.4,24.5,11.7,1012321,N
Stan Spence,,,1112,4446,95,541,575,21,11.7 %,5.6 %,0.155,0.282,0.282,0.369,0.437,0.379,125,-6.7,115.7,-46.1,23.6,1012328,N
Mike Stanley,,,1467,4989,187,625,702,13,13.1 %,18.6 %,0.188,0.301,0.27,0.37,0.458,0.364,118,0.2,119,-71.4,21.4,1012416,N
Vern Stephens,,,1720,7240,247,1001,1174,25,9.6 %,9.5 %,0.174,0.289,0.286,0.355,0.46,0.377,117,-4.6,143.6,83.5,48.6,1012501,N
Darryl Strawberry,,,1583,6326,335,898,1000,221,12.9 %,21.4 %,0.247,0.282,0.259,0.357,0.505,0.372,137,2.6,272,-81.2,41.5,1012606,N
Dick Stuart,,,1112,4363,228,506,743,2,6.9 %,21.9 %,0.225,0.29,0.264,0.316,0.489,0.351,116,-1.3,82.2,-117.4,10.9,1012639,N
Tony Taylor,,,2195,8501,75,1005,598,234,7.2 %,12.7 %,0.09,0.294,0.261,0.321,0.352,0.304,89,7.3,-106.6,0.8,19.2,1012892,N
Garry Templeton,,,2079,8208,70,893,728,242,4.6 %,13.3 %,0.097,0.307,0.271,0.304,0.369,0.295,83,-2.8,-166.7,134.3,24.5,1012909,N
Frank Thomas,,,1766,6916,286,792,962,15,7.0 %,12.9 %,0.188,0.268,0.266,0.32,0.454,0.34,104,-2.6,32.4,-91.7,16.6,1012976,N
Gorman Thomas,,,1436,5486,268,681,782,50,12.7 %,24.4 %,0.223,0.251,0.225,0.324,0.448,0.343,114,-9.2,78,-63.2,20.4,1012979,N
Milt Thompson,,,1359,4155,47,491,357,214,8.1 %,15.3 %,0.099,0.317,0.274,0.335,0.372,0.317,95,15.1,-12.9,29.7,15.9,1013021,N
Bobby Thomson,,,1779,6957,264,903,1026,38,8.0 %,11.6 %,0.191,0.274,0.27,0.332,0.462,0.357,110,2,84.6,1.2,31.3,1013032,N
Earl Torgeson,,,1668,6037,149,848,740,133,16.2 %,10.8 %,0.152,0.279,0.265,0.385,0.417,0.371,121,14,169.1,-69.9,29.8,1013124,N
Cesar Tovar,,,1488,6177,46,834,435,226,6.7 %,6.6 %,0.09,0.291,0.278,0.335,0.368,0.321,101,7.1,16.3,7.4,22.1,1013142,N
Tom Tresh,,,1192,4895,153,595,530,45,11.2 %,14.3 %,0.166,0.259,0.245,0.335,0.411,0.334,115,0.9,83.7,-2.5,23.7,1013179,N
Gus Triandos,,,1206,4426,167,389,608,1,9.9 %,14.4 %,0.169,0.251,0.244,0.322,0.413,0.325,102,2.2,13.6,30,19,1013182,N
Del Unser,,,1799,5813,87,617,481,64,8.3 %,11.6 %,0.1,0.28,0.258,0.319,0.358,0.307,91,-8.3,-59.6,10.8,13,1013286,N
Elmer Valo,,,1806,6091,58,768,601,110,15.5 %,4.7 %,0.109,0.29,0.282,0.398,0.391,0.373,117,-8.6,121.6,-54.8,27.3,1013335,N
Andy Van Slyke,,,1658,6495,164,835,792,245,10.3 %,16.4 %,0.169,0.308,0.274,0.349,0.443,0.35,120,23.8,168.7,19.3,41.9,1013363,N
Leon Wagner,,,1352,4950,211,636,669,54,8.8 %,13.3 %,0.184,0.276,0.272,0.34,0.455,0.349,120,3.2,117.6,-137.9,13.6,1013487,N
Harry Walker,,,807,2981,10,385,214,42,8.2 %,5.9 %,0.087,0.315,0.296,0.358,0.383,0.351,104,7.4,23.8,-14.4,10.8,1013521,N
Tim Wallach,,,2212,8908,260,908,1125,51,7.3 %,14.7 %,0.159,0.276,0.257,0.316,0.416,0.322,102,-17.7,0.6,74,37.6,1013554,N
Denny Walling,,,1271,3287,49,372,380,44,9.4 %,9.6 %,0.119,0.288,0.271,0.339,0.39,0.326,108,1.1,32.1,-27,11.7,1013559,N
Gary Ward,,,1287,4892,130,594,597,83,7.2 %,15.8 %,0.149,0.306,0.276,0.328,0.425,0.334,104,3.7,28.4,-18.6,17.5,1013611,N
Claudell Washington,,,1912,7367,164,926,824,312,6.4 %,17.2 %,0.142,0.318,0.278,0.325,0.42,0.33,105,9.7,50.9,-132.6,16.9,1013654,N
Mitch Webster,,,1265,3851,70,504,342,160,8.4 %,15.0 %,0.137,0.296,0.263,0.33,0.401,0.324,102,1.5,10.9,-6.9,13.3,1013719,N
Walt Weiss,,,1495,5516,25,623,386,96,11.9 %,11.9 %,0.068,0.292,0.258,0.351,0.326,0.312,81,3.4,-124.9,91.9,14.8,1013748,N
Vic Wertz,,,1862,7021,266,867,1178,9,11.8 %,12.0 %,0.192,0.283,0.277,0.364,0.469,0.376,120,-3.3,170.8,-83.5,32,1013795,N
Wally Westlake,,,958,3495,127,474,539,19,9.1 %,13.0 %,0.178,0.284,0.272,0.345,0.45,0.365,109,1.7,43.1,-19.5,13.8,1013807,N
Wes Westrum,,,919,2849,96,302,315,10,17.2 %,18.0 %,0.156,0.237,0.217,0.356,0.373,0.344,99,1.6,-2,58.9,14.9,1013812,N
Mark Whiten,,,940,3523,105,465,423,78,10.7 %,20.2 %,0.156,0.303,0.259,0.341,0.415,0.334,102,-1.3,7.6,6.5,13.1,1013886,N
Rick Wilkins,,,720,2435,81,280,275,9,11.4 %,23.4 %,0.167,0.293,0.244,0.332,0.41,0.326,97,-3.4,-13.4,74.6,14.2,1013960,N
Earl Williams,,,889,3431,138,361,457,2,8.7 %,16.7 %,0.177,0.26,0.247,0.318,0.424,0.335,106,-0.8,20.9,-39.2,10.8,1013995,N
Mookie Wilson,,,1403,5442,67,731,438,327,5.2 %,15.9 %,0.112,0.318,0.274,0.314,0.386,0.312,96,25.6,3.3,-0.8,18.6,1014096,N
Gene Woodling,,,1796,6613,147,830,830,29,13.9 %,7.2 %,0.147,0.288,0.284,0.386,0.431,0.372,125,-8.8,194.2,-82.7,33.3,1014228,N
Taffy Wright,,,800,3153,32,351,424,30,9.4 %,3.8 %,0.104,0.313,0.308,0.378,0.412,0.371,114,-7.2,49.1,-30,13.1,1014296,N
Jimmy Wynn,,,1920,8010,291,1105,964,225,15.3 %,17.8 %,0.186,0.274,0.25,0.366,0.436,0.362,130,9.9,274.5,-63.8,52.8,1014313,N
Joel Youngblood,,,1408,4078,80,453,422,60,8.1 %,14.4 %,0.127,0.294,0.265,0.329,0.392,0.323,104,-9.9,7.4,-39.4,10.6,1014383,N
